Question,A,B,C,D,True Answer,True_Option,MC,MC_R
7 * 7 等于多少?,51,49,54,47,49,B,"请选择一个选项7 * 7 等于多少?: A 51.0 , B 49.0 , C 54.0 , D 47.0。只能选择一个选项，禁止解释。","请选择一个选项7 * 7 等于多少?: B 49.0 , A 51.0 , C 54.0 , D 47.0。只能选择一个选项，禁止解释。"
2 * 3 等于多少?,5,10,7,6,6,D,"请选择一个选项2 * 3 等于多少?: A 5.0 , B 10.0 , C 7.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项2 * 3 等于多少?: B 10.0 , A 5.0 , C 7.0 , D 6.0。只能选择一个选项，禁止解释。"
1 + 5 等于多少?,11,7,6,3,6,C,"请选择一个选项1 + 5 等于多少?: A 11.0 , B 7.0 , C 6.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项1 + 5 等于多少?: B 7.0 , A 11.0 , C 6.0 , D 3.0。只能选择一个选项，禁止解释。"
18 / 3 等于多少?,5,6,12,9,6,B,"请选择一个选项18 / 3 等于多少?: A 5.0 , B 6.0 , C 12.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项18 / 3 等于多少?: B 6.0 , A 5.0 , C 12.0 , D 9.0。只能选择一个选项，禁止解释。"
8 + 10 等于多少?,15,22,20,18,18,D,"请选择一个选项8 + 10 等于多少?: A 15.0 , B 22.0 , C 20.0 , D 18.0。只能选择一个选项，禁止解释。","请选择一个选项8 + 10 等于多少?: B 22.0 , A 15.0 , C 20.0 , D 18.0。只能选择一个选项，禁止解释。"
5 - 6 等于多少?,5,-1,-4,0,-1,B,"请选择一个选项5 - 6 等于多少?: A 5.0 , B -1.0 , C -4.0 , D 0.0。只能选择一个选项，禁止解释。","请选择一个选项5 - 6 等于多少?: B -1.0 , A 5.0 , C -4.0 , D 0.0。只能选择一个选项，禁止解释。"
4 / 2 等于多少?,2,-1,4,6,2,A,"请选择一个选项4 / 2 等于多少?: A 2.0 , B -1.0 , C 4.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项4 / 2 等于多少?: B -1.0 , A 2.0 , C 4.0 , D 6.0。只能选择一个选项，禁止解释。"
2 - 3 等于多少?,-2,-1,5,1,-1,B,"请选择一个选项2 - 3 等于多少?: A -2.0 , B -1.0 , C 5.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项2 - 3 等于多少?: B -1.0 , A -2.0 , C 5.0 , D 1.0。只能选择一个选项，禁止解释。"
5 + 8 等于多少?,13,11,18,16,13,A,"请选择一个选项5 + 8 等于多少?: A 13.0 , B 11.0 , C 18.0 , D 16.0。只能选择一个选项，禁止解释。","请选择一个选项5 + 8 等于多少?: B 11.0 , A 13.0 , C 18.0 , D 16.0。只能选择一个选项，禁止解释。"
9 - 1 等于多少?,10,6,8,13,8,C,"请选择一个选项9 - 1 等于多少?: A 10.0 , B 6.0 , C 8.0 , D 13.0。只能选择一个选项，禁止解释。","请选择一个选项9 - 1 等于多少?: B 6.0 , A 10.0 , C 8.0 , D 13.0。只能选择一个选项，禁止解释。"
8 * 8 等于多少?,62,68,64,67,64,C,"请选择一个选项8 * 8 等于多少?: A 62.0 , B 68.0 , C 64.0 , D 67.0。只能选择一个选项，禁止解释。","请选择一个选项8 * 8 等于多少?: B 68.0 , A 62.0 , C 64.0 , D 67.0。只能选择一个选项，禁止解释。"
36 / 4 等于多少?,12,6,9,13,9,C,"请选择一个选项36 / 4 等于多少?: A 12.0 , B 6.0 , C 9.0 , D 13.0。只能选择一个选项，禁止解释。","请选择一个选项36 / 4 等于多少?: B 6.0 , A 12.0 , C 9.0 , D 13.0。只能选择一个选项，禁止解释。"
3 - 7 等于多少?,-3,-4,0,-7,-4,B,"请选择一个选项3 - 7 等于多少?: A -3.0 , B -4.0 , C 0.0 , D -7.0。只能选择一个选项，禁止解释。","请选择一个选项3 - 7 等于多少?: B -4.0 , A -3.0 , C 0.0 , D -7.0。只能选择一个选项，禁止解释。"
4 - 8 等于多少?,1,-2,-5,-4,-4,D,"请选择一个选项4 - 8 等于多少?: A 1.0 , B -2.0 , C -5.0 , D -4.0。只能选择一个选项，禁止解释。","请选择一个选项4 - 8 等于多少?: B -2.0 , A 1.0 , C -5.0 , D -4.0。只能选择一个选项，禁止解释。"
4 / 2 等于多少?,3,2,-1,7,2,B,"请选择一个选项4 / 2 等于多少?: A 3.0 , B 2.0 , C -1.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项4 / 2 等于多少?: B 2.0 , A 3.0 , C -1.0 , D 7.0。只能选择一个选项，禁止解释。"
2 - 7 等于多少?,-5,-4,1,-8,-5,A,"请选择一个选项2 - 7 等于多少?: A -5.0 , B -4.0 , C 1.0 , D -8.0。只能选择一个选项，禁止解释。","请选择一个选项2 - 7 等于多少?: B -4.0 , A -5.0 , C 1.0 , D -8.0。只能选择一个选项，禁止解释。"
12 / 3 等于多少?,9,4,5,2,4,B,"请选择一个选项12 / 3 等于多少?: A 9.0 , B 4.0 , C 5.0 , D 2.0。只能选择一个选项，禁止解释。","请选择一个选项12 / 3 等于多少?: B 4.0 , A 9.0 , C 5.0 , D 2.0。只能选择一个选项，禁止解释。"
27 / 9 等于多少?,8,0,3,5,3,C,"请选择一个选项27 / 9 等于多少?: A 8.0 , B 0.0 , C 3.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项27 / 9 等于多少?: B 0.0 , A 8.0 , C 3.0 , D 5.0。只能选择一个选项，禁止解释。"
1 - 9 等于多少?,-8,-7,-3,-10,-8,A,"请选择一个选项1 - 9 等于多少?: A -8.0 , B -7.0 , C -3.0 , D -10.0。只能选择一个选项，禁止解释。","请选择一个选项1 - 9 等于多少?: B -7.0 , A -8.0 , C -3.0 , D -10.0。只能选择一个选项，禁止解释。"
8 - 1 等于多少?,9,12,7,4,7,C,"请选择一个选项8 - 1 等于多少?: A 9.0 , B 12.0 , C 7.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 1 等于多少?: B 12.0 , A 9.0 , C 7.0 , D 4.0。只能选择一个选项，禁止解释。"
10 + 9 等于多少?,20,16,19,23,19,C,"请选择一个选项10 + 9 等于多少?: A 20.0 , B 16.0 , C 19.0 , D 23.0。只能选择一个选项，禁止解释。","请选择一个选项10 + 9 等于多少?: B 16.0 , A 20.0 , C 19.0 , D 23.0。只能选择一个选项，禁止解释。"
10 + 7 等于多少?,17,21,14,20,17,A,"请选择一个选项10 + 7 等于多少?: A 17.0 , B 21.0 , C 14.0 , D 20.0。只能选择一个选项，禁止解释。","请选择一个选项10 + 7 等于多少?: B 21.0 , A 17.0 , C 14.0 , D 20.0。只能选择一个选项，禁止解释。"
5 - 3 等于多少?,5,0,8,2,2,D,"请选择一个选项5 - 3 等于多少?: A 5.0 , B 0.0 , C 8.0 , D 2.0。只能选择一个选项，禁止解释。","请选择一个选项5 - 3 等于多少?: B 0.0 , A 5.0 , C 8.0 , D 2.0。只能选择一个选项，禁止解释。"
4 - 3 等于多少?,1,7,3,0,1,A,"请选择一个选项4 - 3 等于多少?: A 1.0 , B 7.0 , C 3.0 , D 0.0。只能选择一个选项，禁止解释。","请选择一个选项4 - 3 等于多少?: B 7.0 , A 1.0 , C 3.0 , D 0.0。只能选择一个选项，禁止解释。"
7 - 7 等于多少?,5,0,-2,1,0,B,"请选择一个选项7 - 7 等于多少?: A 5.0 , B 0.0 , C -2.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项7 - 7 等于多少?: B 0.0 , A 5.0 , C -2.0 , D 1.0。只能选择一个选项，禁止解释。"
10 + 3 等于多少?,12,19,13,16,13,C,"请选择一个选项10 + 3 等于多少?: A 12.0 , B 19.0 , C 13.0 , D 16.0。只能选择一个选项，禁止解释。","请选择一个选项10 + 3 等于多少?: B 19.0 , A 12.0 , C 13.0 , D 16.0。只能选择一个选项，禁止解释。"
9 * 5 等于多少?,51,42,47,45,45,D,"请选择一个选项9 * 5 等于多少?: A 51.0 , B 42.0 , C 47.0 , D 45.0。只能选择一个选项，禁止解释。","请选择一个选项9 * 5 等于多少?: B 42.0 , A 51.0 , C 47.0 , D 45.0。只能选择一个选项，禁止解释。"
5 - 7 等于多少?,-2,3,1,-4,-2,A,"请选择一个选项5 - 7 等于多少?: A -2.0 , B 3.0 , C 1.0 , D -4.0。只能选择一个选项，禁止解释。","请选择一个选项5 - 7 等于多少?: B 3.0 , A -2.0 , C 1.0 , D -4.0。只能选择一个选项，禁止解释。"
1 - 2 等于多少?,-1,5,0,-3,-1,A,"请选择一个选项1 - 2 等于多少?: A -1.0 , B 5.0 , C 0.0 , D -3.0。只能选择一个选项，禁止解释。","请选择一个选项1 - 2 等于多少?: B 5.0 , A -1.0 , C 0.0 , D -3.0。只能选择一个选项，禁止解释。"
5 * 2 等于多少?,9,13,14,10,10,D,"请选择一个选项5 * 2 等于多少?: A 9.0 , B 13.0 , C 14.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项5 * 2 等于多少?: B 13.0 , A 9.0 , C 14.0 , D 10.0。只能选择一个选项，禁止解释。"
10 / 10 等于多少?,-1,7,4,1,1,D,"请选择一个选项10 / 10 等于多少?: A -1.0 , B 7.0 , C 4.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项10 / 10 等于多少?: B 7.0 , A -1.0 , C 4.0 , D 1.0。只能选择一个选项，禁止解释。"
3 + 8 等于多少?,16,8,12,11,11,D,"请选择一个选项3 + 8 等于多少?: A 16.0 , B 8.0 , C 12.0 , D 11.0。只能选择一个选项，禁止解释。","请选择一个选项3 + 8 等于多少?: B 8.0 , A 16.0 , C 12.0 , D 11.0。只能选择一个选项，禁止解释。"
10 * 1 等于多少?,15,10,12,8,10,B,"请选择一个选项10 * 1 等于多少?: A 15.0 , B 10.0 , C 12.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 1 等于多少?: B 10.0 , A 15.0 , C 12.0 , D 8.0。只能选择一个选项，禁止解释。"
7 - 4 等于多少?,4,3,1,9,3,B,"请选择一个选项7 - 4 等于多少?: A 4.0 , B 3.0 , C 1.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项7 - 4 等于多少?: B 3.0 , A 4.0 , C 1.0 , D 9.0。只能选择一个选项，禁止解释。"
35 / 7 等于多少?,7,11,5,3,5,C,"请选择一个选项35 / 7 等于多少?: A 7.0 , B 11.0 , C 5.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项35 / 7 等于多少?: B 11.0 , A 7.0 , C 5.0 , D 3.0。只能选择一个选项，禁止解释。"
3 - 8 等于多少?,-1,-7,-5,-2,-5,C,"请选择一个选项3 - 8 等于多少?: A -1.0 , B -7.0 , C -5.0 , D -2.0。只能选择一个选项，禁止解释。","请选择一个选项3 - 8 等于多少?: B -7.0 , A -1.0 , C -5.0 , D -2.0。只能选择一个选项，禁止解释。"
5 - 7 等于多少?,2,-2,-5,0,-2,B,"请选择一个选项5 - 7 等于多少?: A 2.0 , B -2.0 , C -5.0 , D 0.0。只能选择一个选项，禁止解释。","请选择一个选项5 - 7 等于多少?: B -2.0 , A 2.0 , C -5.0 , D 0.0。只能选择一个选项，禁止解释。"
9 - 10 等于多少?,-1,3,0,-3,-1,A,"请选择一个选项9 - 10 等于多少?: A -1.0 , B 3.0 , C 0.0 , D -3.0。只能选择一个选项，禁止解释。","请选择一个选项9 - 10 等于多少?: B 3.0 , A -1.0 , C 0.0 , D -3.0。只能选择一个选项，禁止解释。"
4 * 5 等于多少?,17,20,24,23,20,B,"请选择一个选项4 * 5 等于多少?: A 17.0 , B 20.0 , C 24.0 , D 23.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 5 等于多少?: B 20.0 , A 17.0 , C 24.0 , D 23.0。只能选择一个选项，禁止解释。"
4 * 6 等于多少?,25,23,30,24,24,D,"请选择一个选项4 * 6 等于多少?: A 25.0 , B 23.0 , C 30.0 , D 24.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 6 等于多少?: B 23.0 , A 25.0 , C 30.0 , D 24.0。只能选择一个选项，禁止解释。"
9 * 1 等于多少?,7,11,9,15,9,C,"请选择一个选项9 * 1 等于多少?: A 7.0 , B 11.0 , C 9.0 , D 15.0。只能选择一个选项，禁止解释。","请选择一个选项9 * 1 等于多少?: B 11.0 , A 7.0 , C 9.0 , D 15.0。只能选择一个选项，禁止解释。"
24 / 8 等于多少?,3,0,6,7,3,A,"请选择一个选项24 / 8 等于多少?: A 3.0 , B 0.0 , C 6.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项24 / 8 等于多少?: B 0.0 , A 3.0 , C 6.0 , D 7.0。只能选择一个选项，禁止解释。"
5 + 9 等于多少?,11,16,20,14,14,D,"请选择一个选项5 + 9 等于多少?: A 11.0 , B 16.0 , C 20.0 , D 14.0。只能选择一个选项，禁止解释。","请选择一个选项5 + 9 等于多少?: B 16.0 , A 11.0 , C 20.0 , D 14.0。只能选择一个选项，禁止解释。"
2 - 1 等于多少?,3,6,-1,1,1,D,"请选择一个选项2 - 1 等于多少?: A 3.0 , B 6.0 , C -1.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项2 - 1 等于多少?: B 6.0 , A 3.0 , C -1.0 , D 1.0。只能选择一个选项，禁止解释。"
24 / 6 等于多少?,10,2,5,4,4,D,"请选择一个选项24 / 6 等于多少?: A 10.0 , B 2.0 , C 5.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项24 / 6 等于多少?: B 2.0 , A 10.0 , C 5.0 , D 4.0。只能选择一个选项，禁止解释。"
18 / 6 等于多少?,3,6,2,7,3,A,"请选择一个选项18 / 6 等于多少?: A 3.0 , B 6.0 , C 2.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项18 / 6 等于多少?: B 6.0 , A 3.0 , C 2.0 , D 7.0。只能选择一个选项，禁止解释。"
7 * 1 等于多少?,7,9,6,11,7,A,"请选择一个选项7 * 1 等于多少?: A 7.0 , B 9.0 , C 6.0 , D 11.0。只能选择一个选项，禁止解释。","请选择一个选项7 * 1 等于多少?: B 9.0 , A 7.0 , C 6.0 , D 11.0。只能选择一个选项，禁止解释。"
6 / 2 等于多少?,3,4,9,2,3,A,"请选择一个选项6 / 2 等于多少?: A 3.0 , B 4.0 , C 9.0 , D 2.0。只能选择一个选项，禁止解释。","请选择一个选项6 / 2 等于多少?: B 4.0 , A 3.0 , C 9.0 , D 2.0。只能选择一个选项，禁止解释。"
4 * 2 等于多少?,11,14,8,7,8,C,"请选择一个选项4 * 2 等于多少?: A 11.0 , B 14.0 , C 8.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 2 等于多少?: B 14.0 , A 11.0 , C 8.0 , D 7.0。只能选择一个选项，禁止解释。"
2 / 1 等于多少?,0,3,2,6,2,C,"请选择一个选项2 / 1 等于多少?: A 0.0 , B 3.0 , C 2.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项2 / 1 等于多少?: B 3.0 , A 0.0 , C 2.0 , D 6.0。只能选择一个选项，禁止解释。"
9 + 2 等于多少?,14,16,10,11,11,D,"请选择一个选项9 + 2 等于多少?: A 14.0 , B 16.0 , C 10.0 , D 11.0。只能选择一个选项，禁止解释。","请选择一个选项9 + 2 等于多少?: B 16.0 , A 14.0 , C 10.0 , D 11.0。只能选择一个选项，禁止解释。"
3 - 10 等于多少?,-2,-7,-10,-4,-7,B,"请选择一个选项3 - 10 等于多少?: A -2.0 , B -7.0 , C -10.0 , D -4.0。只能选择一个选项，禁止解释。","请选择一个选项3 - 10 等于多少?: B -7.0 , A -2.0 , C -10.0 , D -4.0。只能选择一个选项，禁止解释。"
1 - 6 等于多少?,-4,1,-5,-6,-5,C,"请选择一个选项1 - 6 等于多少?: A -4.0 , B 1.0 , C -5.0 , D -6.0。只能选择一个选项，禁止解释。","请选择一个选项1 - 6 等于多少?: B 1.0 , A -4.0 , C -5.0 , D -6.0。只能选择一个选项，禁止解释。"
4 / 2 等于多少?,-1,2,8,4,2,B,"请选择一个选项4 / 2 等于多少?: A -1.0 , B 2.0 , C 8.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项4 / 2 等于多少?: B 2.0 , A -1.0 , C 8.0 , D 4.0。只能选择一个选项，禁止解释。"
4 * 9 等于多少?,39,40,34,36,36,D,"请选择一个选项4 * 9 等于多少?: A 39.0 , B 40.0 , C 34.0 , D 36.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 9 等于多少?: B 40.0 , A 39.0 , C 34.0 , D 36.0。只能选择一个选项，禁止解释。"
8 - 7 等于多少?,4,1,-1,6,1,B,"请选择一个选项8 - 7 等于多少?: A 4.0 , B 1.0 , C -1.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 7 等于多少?: B 1.0 , A 4.0 , C -1.0 , D 6.0。只能选择一个选项，禁止解释。"
4 - 1 等于多少?,3,4,0,7,3,A,"请选择一个选项4 - 1 等于多少?: A 3.0 , B 4.0 , C 0.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项4 - 1 等于多少?: B 4.0 , A 3.0 , C 0.0 , D 7.0。只能选择一个选项，禁止解释。"
6 + 2 等于多少?,6,12,9,8,8,D,"请选择一个选项6 + 2 等于多少?: A 6.0 , B 12.0 , C 9.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项6 + 2 等于多少?: B 12.0 , A 6.0 , C 9.0 , D 8.0。只能选择一个选项，禁止解释。"
10 / 10 等于多少?,2,0,7,1,1,D,"请选择一个选项10 / 10 等于多少?: A 2.0 , B 0.0 , C 7.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项10 / 10 等于多少?: B 0.0 , A 2.0 , C 7.0 , D 1.0。只能选择一个选项，禁止解释。"
5 * 9 等于多少?,45,43,48,49,45,A,"请选择一个选项5 * 9 等于多少?: A 45.0 , B 43.0 , C 48.0 , D 49.0。只能选择一个选项，禁止解释。","请选择一个选项5 * 9 等于多少?: B 43.0 , A 45.0 , C 48.0 , D 49.0。只能选择一个选项，禁止解释。"
16 / 8 等于多少?,0,8,2,3,2,C,"请选择一个选项16 / 8 等于多少?: A 0.0 , B 8.0 , C 2.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项16 / 8 等于多少?: B 8.0 , A 0.0 , C 2.0 , D 3.0。只能选择一个选项，禁止解释。"
10 / 2 等于多少?,3,9,8,5,5,D,"请选择一个选项10 / 2 等于多少?: A 3.0 , B 9.0 , C 8.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项10 / 2 等于多少?: B 9.0 , A 3.0 , C 8.0 , D 5.0。只能选择一个选项，禁止解释。"
10 * 5 等于多少?,52,50,49,55,50,B,"请选择一个选项10 * 5 等于多少?: A 52.0 , B 50.0 , C 49.0 , D 55.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 5 等于多少?: B 50.0 , A 52.0 , C 49.0 , D 55.0。只能选择一个选项，禁止解释。"
2 + 10 等于多少?,15,10,16,12,12,D,"请选择一个选项2 + 10 等于多少?: A 15.0 , B 10.0 , C 16.0 , D 12.0。只能选择一个选项，禁止解释。","请选择一个选项2 + 10 等于多少?: B 10.0 , A 15.0 , C 16.0 , D 12.0。只能选择一个选项，禁止解释。"
54 / 9 等于多少?,6,3,7,10,6,A,"请选择一个选项54 / 9 等于多少?: A 6.0 , B 3.0 , C 7.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项54 / 9 等于多少?: B 3.0 , A 6.0 , C 7.0 , D 10.0。只能选择一个选项，禁止解释。"
3 * 8 等于多少?,29,24,25,23,24,B,"请选择一个选项3 * 8 等于多少?: A 29.0 , B 24.0 , C 25.0 , D 23.0。只能选择一个选项，禁止解释。","请选择一个选项3 * 8 等于多少?: B 24.0 , A 29.0 , C 25.0 , D 23.0。只能选择一个选项，禁止解释。"
10 - 5 等于多少?,5,7,4,9,5,A,"请选择一个选项10 - 5 等于多少?: A 5.0 , B 7.0 , C 4.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项10 - 5 等于多少?: B 7.0 , A 5.0 , C 4.0 , D 9.0。只能选择一个选项，禁止解释。"
9 * 1 等于多少?,7,11,9,13,9,C,"请选择一个选项9 * 1 等于多少?: A 7.0 , B 11.0 , C 9.0 , D 13.0。只能选择一个选项，禁止解释。","请选择一个选项9 * 1 等于多少?: B 11.0 , A 7.0 , C 9.0 , D 13.0。只能选择一个选项，禁止解释。"
10 * 7 等于多少?,70,73,67,76,70,A,"请选择一个选项10 * 7 等于多少?: A 70.0 , B 73.0 , C 67.0 , D 76.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 7 等于多少?: B 73.0 , A 70.0 , C 67.0 , D 76.0。只能选择一个选项，禁止解释。"
48 / 8 等于多少?,5,6,11,9,6,B,"请选择一个选项48 / 8 等于多少?: A 5.0 , B 6.0 , C 11.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项48 / 8 等于多少?: B 6.0 , A 5.0 , C 11.0 , D 9.0。只能选择一个选项，禁止解释。"
10 * 4 等于多少?,46,40,37,43,40,B,"请选择一个选项10 * 4 等于多少?: A 46.0 , B 40.0 , C 37.0 , D 43.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 4 等于多少?: B 40.0 , A 46.0 , C 37.0 , D 43.0。只能选择一个选项，禁止解释。"
1 + 6 等于多少?,9,4,13,7,7,D,"请选择一个选项1 + 6 等于多少?: A 9.0 , B 4.0 , C 13.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项1 + 6 等于多少?: B 4.0 , A 9.0 , C 13.0 , D 7.0。只能选择一个选项，禁止解释。"
15 / 3 等于多少?,3,5,6,9,5,B,"请选择一个选项15 / 3 等于多少?: A 3.0 , B 5.0 , C 6.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项15 / 3 等于多少?: B 5.0 , A 3.0 , C 6.0 , D 9.0。只能选择一个选项，禁止解释。"
5 + 3 等于多少?,8,11,13,6,8,A,"请选择一个选项5 + 3 等于多少?: A 8.0 , B 11.0 , C 13.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项5 + 3 等于多少?: B 11.0 , A 8.0 , C 13.0 , D 6.0。只能选择一个选项，禁止解释。"
6 - 1 等于多少?,11,6,4,5,5,D,"请选择一个选项6 - 1 等于多少?: A 11.0 , B 6.0 , C 4.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 1 等于多少?: B 6.0 , A 11.0 , C 4.0 , D 5.0。只能选择一个选项，禁止解释。"
6 - 2 等于多少?,10,6,1,4,4,D,"请选择一个选项6 - 2 等于多少?: A 10.0 , B 6.0 , C 1.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 2 等于多少?: B 6.0 , A 10.0 , C 1.0 , D 4.0。只能选择一个选项，禁止解释。"
10 * 3 等于多少?,28,31,36,30,30,D,"请选择一个选项10 * 3 等于多少?: A 28.0 , B 31.0 , C 36.0 , D 30.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 3 等于多少?: B 31.0 , A 28.0 , C 36.0 , D 30.0。只能选择一个选项，禁止解释。"
8 - 4 等于多少?,5,8,3,4,4,D,"请选择一个选项8 - 4 等于多少?: A 5.0 , B 8.0 , C 3.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 4 等于多少?: B 8.0 , A 5.0 , C 3.0 , D 4.0。只能选择一个选项，禁止解释。"
8 * 3 等于多少?,26,24,23,28,24,B,"请选择一个选项8 * 3 等于多少?: A 26.0 , B 24.0 , C 23.0 , D 28.0。只能选择一个选项，禁止解释。","请选择一个选项8 * 3 等于多少?: B 24.0 , A 26.0 , C 23.0 , D 28.0。只能选择一个选项，禁止解释。"
3 - 9 等于多少?,-8,-2,-4,-6,-6,D,"请选择一个选项3 - 9 等于多少?: A -8.0 , B -2.0 , C -4.0 , D -6.0。只能选择一个选项，禁止解释。","请选择一个选项3 - 9 等于多少?: B -2.0 , A -8.0 , C -4.0 , D -6.0。只能选择一个选项，禁止解释。"
6 - 4 等于多少?,1,2,6,5,2,B,"请选择一个选项6 - 4 等于多少?: A 1.0 , B 2.0 , C 6.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 4 等于多少?: B 2.0 , A 1.0 , C 6.0 , D 5.0。只能选择一个选项，禁止解释。"
4 * 5 等于多少?,20,25,19,22,20,A,"请选择一个选项4 * 5 等于多少?: A 20.0 , B 25.0 , C 19.0 , D 22.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 5 等于多少?: B 25.0 , A 20.0 , C 19.0 , D 22.0。只能选择一个选项，禁止解释。"
